unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
FIN,2021,4,719613431,1578751,128719,596
FIN,2022,1,874213902,1684497,612847,1430
FIN,2022,2,136341171,88247,37016,190
FJI,2020,1,346,346,5,0
FJI,2020,2,113166,4507,13,0
FJI,2020,3,693353,5532,14,2
FJI,2020,4,1376497,10687,17,0
FJI,2021,1,2509153,15525,18,0
FJI,2021,2,7867312,160273,4351,19
FJI,2021,3,28605026,214086,46605,605
FJI,2021,4,38965461,60191,2309,74
FJI,2022,1,43012298,33040,11072,136
FJI,2022,2,6568830,1761,95,0
FRA,2020,1,1279548,101046,52281,3526
FRA,2020,2,92946006,1588672,180411,26617
FRA,2020,3,469140736,9151609,401649,2166
FRA,2020,4,1856124888,23431797,2117888,32835
FRA,2021,1,4366976906,29798806,2027526,31040
FRA,2021,2,7319251984,29017254,1481057,15461
FRA,2021,3,10628562565,49086218,1268625,6215
FRA,2021,4,14918904420,48377783,2971755,7255
FRA,2022,1,21101755166,66724533,15725390,18578
FRA,2022,2,3392298417,6376966,1550052,1355
FRO,2020,1,38065,4065,0,0
FRO,2020,2,782427,9981,0,0
FRO,2020,3,6273561,115896,0,0
FRO,2020,4,14883192,64568,0,0
FRO,2021,1,20255219,47252,0,0
FRO,2021,2,24374177,67272,0,0
FRO,2021,3,34938759,122385,0,0
FRO,2021,4,48670428,214367,0,0
FRO,2022,1,67198728,132059,0,0
FRO,2022,2,10111985,0,0,0
GAB,2020,1,807,269,16,1
GAB,2020,2,917652,34505,5378,41
GAB,2020,3,8841008,128490,3372,12
GAB,2020,4,24598491,198615,805,10
GAB,2021,1,43242021,266526,9979,54
GAB,2021,2,69424494,245138,5434,41
GAB,2021,3,94857342,328970,5171,27
GAB,2021,4,124729728,277049,11643,102
GAB,2022,1,139438235,108879,5786,15
GAB,2022,2,20658920,1374,4,0
GBR,2020,1,1835227,152979,38788,2457
GBR,2020,2,229259889,5945293,246425,38022
