unit,yr,quarter,pop,cap_new_cases,cap_new_deaths,cap_new_tests
BIH,2021,3,3281,0.09065038963043478260869565217391304348,0.00282267588043478260869565217391304348,0.46688443341304347826086956521739130435
BIH,2021,4,3281,0.18774763788043478260869565217391304348,0.0094682161739130434782608695652173913,0.60930522243478260869565217391304347826
BIH,2022,1,3281,0.29147956245555555555555555555555555556,0.00797181251111111111111111111111111111,0.66202715972222222222222222222222222222
BIH,2022,2,3281,0.02532061023076923076923076923076923077,0.00068015384615384615384615384615384615,0.20983283692307692307692307692307692308
BLR,2020,1,9449,0.00016476608571428571428571428571428571,0,0.03682173475714285714285714285714285714
BLR,2020,2,9449,0.07090115937362637362637362637362637363,0.00044408791208791208791208791208791209,1.08109003920879120879120879120879120879
BLR,2020,3,9449,0.01903583081521739130434782608695652174,0.00050941304347826086956521739130434783,0.99407919860869565217391304347826086957
BLR,2020,4,9449,0.12768431904347826086956521739130434783,0.00066481521739130434782608695652173913,2.38805578694565217391304347826086956522
BLR,2021,1,9449,0.15276866451111111111111111111111111111,0.00096155216666666666666666666666666667,1.67825989815555555555555555555555555556
BLR,2021,2,9449,0.11242773527472527472527472527472527473,0.00104546197802197802197802197802197802,1.65977212549450549450549450549450549451
BLR,2021,3,9449,0.13454149731521739130434782608695652174,0.00113653610869565217391304347826086957,1.91084747866304347826086956521739130435
BLR,2021,4,9449,0.18782755935869565217391304347826086957,0.00164498669565217391304347826086956522,2.95926875171739130434782608695652173913
BLR,2022,1,9449,0.31093472557777777777777777777777777778,0.0014827778,2.16090709186666666666666666666666666667
BLR,2022,2,9449,0.08053762307692307692307692307692307692,0.00065938461538461538461538461538461538,1.11755415707692307692307692307692307692
BLZ,2020,1,398,0,0,0.0036970567
BLZ,2020,2,398,0.00044176931868131868131868131868131868,0,0.05847920928571428571428571428571428571
BLZ,2020,3,398,0.04975966795652173913043478260869565217,0.00038234654347826086956521739130434783,0.33245029494565217391304347826086956522
BLZ,2020,4,398,0.23943084986956521739130434782608695652,0.00589906052173913043478260869565217391,1.00051889875
BLZ,2021,1,398,0.05030709107777777777777777777777777778,0.00212171974444444444444444444444444444,1.01091568946666666666666666666666666667
BLZ,2021,2,398,0.02070793525274725274725274725274725275,0.00008283174725274725274725274725274725,1.47733171348351648351648351648351648352
BLZ,2021,3,398,0.18805986454347826086956521739130434783,0.00204828504347826086956521739130434783,2.87273323139130434782608695652173913043
BLZ,2021,4,398,0.32480336460869565217391304347826086957,0.00527091988043478260869565217391304348,3.39845968971739130434782608695652173913
BLZ,2022,1,398,0.70639307644444444444444444444444444444,0.00131211623333333333333333333333333333,3.87054718048888888888888888888888888889
BLZ,2022,2,398,0.01256281415384615384615384615384615385,0.00173946661538461538461538461538461538,0.94936219569230769230769230769230769231
BMU,2020,2,62,0,0,2.16841710425581395348837209302325581395
BMU,2020,3,62,0,0,9.04558204746739130434782608695652173913
BMU,2020,4,62,0,0,13.61097475455434782608695652173913043478
BMU,2021,1,62,0,0,9.71989247284444444444444444444444444444
BMU,2021,2,62,0,0,21.4638426089010989010989010989010989011
BMU,2021,3,62,0,0,38.52787517489130434782608695652173913043
BMU,2021,4,62,0,0,27.69109396902173913043478260869565217391
BMU,2022,1,62,0,0,25.64157706033333333333333333333333333333
BMU,2022,2,62,0,0,15.22456575692307692307692307692307692308
BOL,2020,1,11673,0.00008442142857142857142857142857142857,0.00000244857142857142857142857142857143,0.00077957681428571428571428571428571429
BOL,2020,2,11673,0.02856314007692307692307692307692307692,0.00092632959340659340659340659340659341,0.06874698154945054945054945054945054945
BOL,2020,3,11673,0.09637997755434782608695652173913043478,0.00640273541304347826086956521739130435,0.20844367709782608695652173913043478261
BOL,2020,4,11673,0.02079026665217391304347826086956521739,0.00116393458695652173913043478260869565,0.10561068089130434782608695652173913043
BOL,2021,1,11673,0.10822125126666666666666666666666666667,0.00292317503333333333333333333333333333,0.46333609366666666666666666666666666667
BOL,2021,2,11673,0.15474990184615384615384615384615384615,0.00414311982417582417582417582417582418,0.85044288354945054945054945054945054945
BOL,2021,3,11673,0.06057643235869565217391304347826086957,0.00197408152173913043478260869565217391,0.58397770405434782608695652173913043478
BOL,2021,4,11673,0.07873055246739130434782608695652173913,0.00082499772826086956521739130434782609,0.55054399036956521739130434782608695652
BOL,2022,1,11673,0.30229399282222222222222222222222222222,0.00197037426666666666666666666666666667,0.03289262018888888888888888888888888889
BOL,2022,2,11673,0.01221095361538461538461538461538461538,0.00154202492307692307692307692307692308,0
BRA,2020,1,212559,0.00026313221428571428571428571428571429,0.00000807171428571428571428571428571429,0.00366036188571428571428571428571428571
BRA,2020,2,212559,0.07067907042857142857142857142857142857,0.00293623004395604395604395604395604396,0.58523634738461538461538461538461538462
BRA,2020,3,212559,0.17532574589130434782608695652173913043,0.00434723293478260869565217391304347826,0.19148744784782608695652173913043478261
BRA,2020,4,212559,0.14342064006521739130434782608695652174,0.00257877251086956521739130434782608696,0.21721498503260869565217391304347826087
BRA,2021,1,212559,0.26153130813333333333333333333333333333,0.00629885243333333333333333333333333333,0.53486681595555555555555555555555555556
BRA,2021,2,212559,0.30380183005494505494505494505494505495,0.01039328758241758241758241758241758242,0.767673916
BRA,2021,3,212559,0.15139658410869565217391304347826086957,0.0041637033260869565217391304347826087,0.767673916
BRA,2021,4,212559,0.04492962263043478260869565217391304348,0.00120969228260869565217391304347826087,0.33115736469565217391304347826086956522
BRA,2022,1,212559,0.39788869078888888888888888888888888889,0.00211127465555555555555555555555555556,0.26068840487777777777777777777777777778
BRA,2022,2,212559,0.10110097930769230769230769230769230769,0.00078553846153846153846153846153846154,0
BRB,2020,1,287,0.00129417622857142857142857142857142857,0,0
BRB,2020,2,287,0.00264195747252747252747252747252747253,0.00007657848351648351648351648351648352,0.29210858828571428571428571428571428571
BRB,2020,3,287,0.00363581296739130434782608695652173913,0,0.57570822597826086956521739130434782609
BRB,2020,4,287,0.00647629163043478260869565217391304348,0,1.71174821998913043478260869565217391304
BRB,2021,1,287,0.1262485482,0.00120015501111111111111111111111111111,2.78068137823333333333333333333333333333
BRB,2021,2,287,0.01734502432967032967032967032967032967,0,1.68679404223076923076923076923076923077
